episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
59,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,6,44,19.48218536376953,44.0,,,,,,,,,0,0,0,0,0.0,0.0
60,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,6,44,19.48218536376953,44.0,,,,,,,,,0,0,0,0,0.0,0.0
61,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,7,43,18.8384952545166,43.0,,,,,,,,,0,0,0,0,0.0,0.0
62,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,6,44,19.48218536376953,44.0,,,,,,,,,0,0,0,0,0.0,0.0
63,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,6,44,19.48218536376953,44.0,,,,,,,,,0,0,0,0,0.0,0.0
64,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,7,43,18.8384952545166,43.0,,,,,,,,,0,0,0,0,0.0,0.0
65,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,6,44,19.48218536376953,44.0,,,,,,,,,0,0,0,0,0.0,0.0
66,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,6,44,19.48218536376953,44.0,,,,,,,,,0,0,0,0,0.0,0.0
67,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,6,44,19.48218536376953,44.0,,,,,,,,,0,0,0,0,0.0,0.0
68,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,7,43,18.8384952545166,43.0,,,,,,,,,0,0,0,0,0.0,0.0
69,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,6,44,19.48218536376953,44.0,,,,,,,,,0,0,0,0,0.0,0.0
70,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,7,43,18.8384952545166,43.0,,,,,,,,,0,0,0,0,0.0,0.0
71,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,7,43,18.8384952545166,43.0,,,,,,,,,0,0,0,0,0.0,0.0
72,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,6,44,19.48218536376953,44.0,,,,,,,,,0,0,0,0,0.0,0.0
73,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,6,44,19.48218536376953,44.0,,,,,,,,,0,0,0,0,0.0,0.0
74,224.4136095046997,4.488272190093994,50,2,0,0,,0.0,1.0,100,0,7,43,18.8384952545166,43.0,,,,,,,,,0,0,0,0,0.0,0.0
