episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other
30,13.500000000000004,0.2700000000000001,50,3,17,1,10,0.48,0.52,100.0,10,7,9,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,1,3.0,2.0,6.0,8,5,3,1
31,13.500000000000005,0.27000000000000013,50,3,17,1,10,0.56,0.43999999999999995,100.0,6,7,9,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,1,3.0625,2.0,5.0,4,5,7,1
32,13.500000000000004,0.2700000000000001,50,3,15,1,16,0.52,0.48,100.0,11,5,8,2.4494898319244385,6.0,100.0,100.0,100.0,0.0,1,3.5,2.0,8.0,7,3,4,1
33,13.500000000000004,0.2700000000000001,50,3,17,1,22,0.58,0.42000000000000004,100.0,7,5,9,1.632993221282959,4.0,100.0,100.0,100.0,0.0,1,3.0625,2.0,5.0,5,5,6,1
34,13.400000000000004,0.26800000000000007,50,3,16,1,14,0.54,0.45999999999999996,100.0,8,6,9,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,1,3.2666666666666666,2.0,5.0,7,5,3,1
35,13.400000000000004,0.26800000000000007,50,3,15,1,13,0.5,0.5,100.0,9,11,5,2.4944381713867188,6.0,100.0,100.0,100.0,0.0,1,3.5,2.0,10.0,5,6,3,1
36,13.500000000000004,0.2700000000000001,50,3,15,1,26,0.5,0.5,100.0,7,5,13,3.399346113204956,8.0,100.0,100.0,100.0,0.0,1,3.4285714285714284,2.0,7.0,6,3,5,1
37,13.500000000000004,0.2700000000000001,50,3,16,1,17,0.62,0.38,100.0,7,6,6,0.4714045226573944,1.0,100.0,100.0,100.0,0.0,1,3.2,2.0,7.0,6,5,4,1
38,13.500000000000004,0.2700000000000001,50,3,16,1,19,0.54,0.45999999999999996,100.0,5,9,9,1.885617971420288,4.0,100.0,100.0,100.0,0.0,1,3.2666666666666666,2.0,10.0,3,8,4,1
39,13.500000000000004,0.2700000000000001,50,3,19,1,9,0.52,0.48,100.0,9,9,6,1.4142135381698608,3.0,100.0,100.0,100.0,0.0,1,2.7222222222222223,2.0,5.0,6,7,5,1
