reward,steps,rooms,charges,full_coverage,time_in_C,min_battery
26.0,50,3,13,1,0.44,100.0
26.0,50,3,14,1,0.48,100.0
26.0,50,3,13,1,0.46,99.0
26.0,50,3,13,1,0.5,100.0
26.0,50,3,14,1,0.5,100.0
26.0,50,3,14,1,0.56,100.0
25.0,50,3,12,1,0.46,100.0
27.0,50,3,14,1,0.52,100.0
26.0,50,3,11,1,0.44,99.0
25.0,50,3,14,1,0.48,100.0
25.0,50,3,14,1,0.5,100.0
25.0,50,3,12,1,0.46,100.0
25.0,50,3,13,1,0.44,100.0
25.0,50,3,13,1,0.5,100.0
25.0,50,3,13,1,0.44,100.0
26.0,50,3,13,1,0.46,100.0
25.0,50,3,14,1,0.52,100.0
25.0,50,3,17,1,0.52,100.0
26.0,50,3,13,1,0.48,100.0
21.0,50,3,10,1,0.56,63.0
26.0,50,3,14,1,0.5,100.0
25.0,50,3,13,1,0.42,100.0
25.0,50,3,13,1,0.44,100.0
26.0,50,3,15,1,0.58,100.0
26.0,50,3,15,1,0.56,100.0
26.0,50,3,15,1,0.52,100.0
26.0,50,3,13,1,0.5,100.0
26.0,50,3,15,1,0.56,100.0
26.0,50,3,12,1,0.44,100.0
25.0,50,3,13,1,0.44,100.0
26.0,50,3,12,1,0.52,100.0
26.0,50,3,15,1,0.5,100.0
25.0,50,3,15,1,0.5,100.0
26.0,50,3,15,1,0.5,100.0
26.0,50,3,12,1,0.5,100.0
25.0,50,3,14,1,0.52,100.0
26.0,50,3,12,1,0.48,100.0
26.0,50,3,14,1,0.44,100.0
26.0,50,3,13,1,0.5,100.0
26.0,50,3,14,1,0.62,100.0
19.0,50,3,9,1,0.56,57.0
26.0,50,3,16,1,0.62,100.0
26.0,50,3,12,1,0.4,100.0
26.0,50,3,14,1,0.5,100.0
25.0,50,3,14,1,0.44,100.0
25.0,50,3,14,1,0.5,100.0
26.0,50,3,14,1,0.54,100.0
26.0,50,3,15,1,0.56,100.0
22.0,50,3,11,1,0.5,74.0
26.0,50,3,15,1,0.48,100.0
25.0,50,3,13,1,0.5,100.0
25.0,50,3,13,1,0.46,100.0
26.0,50,3,15,1,0.54,100.0
25.0,50,3,14,1,0.48,100.0
27.0,50,3,13,1,0.5,100.0
26.0,50,3,15,1,0.54,100.0
26.0,50,3,13,1,0.44,100.0
22.0,50,3,10,1,0.56,69.0
25.0,50,3,13,1,0.5,100.0
26.0,50,3,13,1,0.5,98.0
26.0,50,3,16,1,0.58,100.0
25.0,50,3,12,1,0.46,100.0
25.0,50,3,12,1,0.48,100.0
25.0,50,3,14,1,0.58,100.0
26.0,50,3,14,1,0.54,100.0
23.0,50,3,11,1,0.46,78.0
26.0,50,3,12,1,0.5,100.0
24.0,50,3,10,1,0.52,80.0
26.0,50,3,14,1,0.48,100.0
26.0,50,3,15,1,0.56,100.0
26.0,50,3,11,1,0.52,100.0
27.0,50,3,14,1,0.56,100.0
25.0,50,3,14,1,0.46,100.0
25.0,50,3,13,1,0.46,100.0
26.0,50,3,14,1,0.5,100.0
26.0,50,3,14,1,0.54,100.0
26.0,50,3,16,1,0.5,100.0
23.0,50,3,11,1,0.46,78.0
25.0,50,3,15,1,0.54,100.0
25.0,50,3,12,1,0.5,100.0
25.0,50,3,13,1,0.46,100.0
26.0,50,3,15,1,0.52,100.0
27.0,50,3,14,1,0.52,100.0
19.0,50,3,10,1,0.6,57.0
25.0,50,3,12,1,0.54,100.0
25.0,50,3,13,1,0.44,100.0
20.0,50,3,11,1,0.48,65.0
26.0,50,3,15,1,0.62,100.0
26.0,50,3,13,1,0.46,100.0
20.0,50,3,12,1,0.58,48.0
26.0,50,3,14,1,0.5,100.0
25.0,50,3,13,1,0.44,100.0
25.0,50,3,12,1,0.4,100.0
25.0,50,3,14,1,0.48,100.0
25.0,50,3,12,1,0.38,100.0
26.0,50,3,12,1,0.48,100.0
19.0,50,3,10,1,0.62,63.0
27.0,50,3,15,1,0.54,100.0
25.0,50,3,13,1,0.48,100.0
26.0,50,3,14,1,0.58,100.0
27.0,50,3,14,1,0.52,100.0
26.0,50,3,13,1,0.46,100.0
19.0,50,3,11,1,0.58,57.0
25.0,50,3,14,1,0.5,100.0
26.0,50,3,15,1,0.54,100.0
25.0,50,3,14,1,0.52,100.0
26.0,50,3,16,1,0.52,100.0
26.0,50,3,14,1,0.46,100.0
27.0,50,3,15,1,0.52,100.0
25.0,50,3,15,1,0.54,100.0
25.0,50,3,14,1,0.48,100.0
26.0,50,3,16,1,0.6,100.0
25.0,50,3,15,1,0.44,100.0
26.0,50,3,15,1,0.5,100.0
25.0,50,3,12,1,0.48,100.0
26.0,50,3,15,1,0.48,100.0
26.0,50,3,11,1,0.48,100.0
26.0,50,3,17,1,0.52,100.0
26.0,50,3,12,1,0.42,100.0
26.0,50,3,17,1,0.52,100.0
25.0,50,3,16,1,0.52,100.0
26.0,50,3,16,1,0.56,100.0
25.0,50,3,14,1,0.54,100.0
26.0,50,3,14,1,0.54,100.0
26.0,50,3,15,1,0.52,100.0
26.0,50,3,16,1,0.5,100.0
25.0,50,3,14,1,0.48,100.0
26.0,50,3,14,1,0.42,100.0
26.0,50,3,17,1,0.56,100.0
26.0,50,3,14,1,0.46,100.0
25.0,50,3,15,1,0.52,100.0
26.0,50,3,15,1,0.54,100.0
26.0,50,3,15,1,0.46,100.0
26.0,50,3,16,1,0.46,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,16,1,0.46,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.52,100.0
25.0,50,3,16,1,0.46,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,17,1,0.5,100.0
26.0,50,3,17,1,0.5,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,15,1,0.44,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,17,1,0.5,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,16,1,0.46,100.0
27.0,50,3,17,1,0.5,100.0
26.0,50,3,17,1,0.48,100.0
25.0,50,3,17,1,0.5,100.0
26.0,50,3,16,1,0.44,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,16,1,0.44,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,16,1,0.44,100.0
26.0,50,3,18,1,0.52,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,16,1,0.48,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.54,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
25.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,17,1,0.52,100.0
26.0,50,3,18,1,0.48,100.0
25.0,50,3,17,1,0.48,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,17,1,0.5,100.0
25.0,50,3,16,1,0.44,100.0
26.0,50,3,18,1,0.52,100.0
26.0,50,3,16,1,0.46,100.0
26.0,50,3,16,1,0.44,100.0
26.0,50,3,16,1,0.44,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,17,1,0.48,100.0
25.0,50,3,17,1,0.46,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,15,1,0.44,100.0
26.0,50,3,18,1,0.52,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,17,1,0.5,100.0
26.0,50,3,16,1,0.44,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
25.0,50,3,16,1,0.46,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,16,1,0.5,100.0
26.0,50,3,16,1,0.44,100.0
25.0,50,3,17,1,0.48,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.48,100.0
25.0,50,3,16,1,0.44,100.0
26.0,50,3,17,1,0.5,100.0
26.0,50,3,16,1,0.44,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.54,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,18,1,0.48,100.0
25.0,50,3,18,1,0.48,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,16,1,0.46,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,17,1,0.5,100.0
25.0,50,3,15,1,0.46,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.48,100.0
25.0,50,3,17,1,0.46,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,17,1,0.52,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,16,1,0.48,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,17,1,0.52,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,16,1,0.52,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,16,1,0.44,100.0
26.0,50,3,18,1,0.52,100.0
26.0,50,3,16,1,0.5,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
25.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
25.0,50,3,16,1,0.44,100.0
26.0,50,3,18,1,0.5,100.0
25.0,50,3,16,1,0.5,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,17,1,0.5,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.54,100.0
25.0,50,3,18,1,0.52,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,17,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,17,1,0.5,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,17,1,0.46,100.0
26.0,50,3,18,1,0.48,100.0
25.0,50,3,17,1,0.46,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,17,1,0.52,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.48,100.0
25.0,50,3,16,1,0.46,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,18,1,0.5,100.0
26.0,50,3,18,1,0.48,100.0
26.0,50,3,17,1,0.48,100.0
