episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other
30,16.200000000000003,0.32400000000000007,50,3,17,1,18,0.46,0.54,100.0,8,13,6,2.943920373916626,7.0,100.0,100.0,100.0,0.0,3,2.9375,2.0,4.0,8,9,0,0
31,16.200000000000006,0.3240000000000001,50,3,16,1,4,0.42,0.5800000000000001,100.0,11,9,9,0.9428090453147888,2.0,100.0,100.0,100.0,0.0,3,3.1333333333333333,2.0,5.0,9,5,2,0
32,16.200000000000006,0.3240000000000001,50,3,16,1,17,0.44,0.56,100.0,10,10,8,0.9428090453147888,2.0,100.0,100.0,100.0,0.0,3,3.0,2.0,4.0,8,6,2,0
33,16.200000000000006,0.3240000000000001,50,3,18,1,7,0.44,0.56,100.0,9,10,9,0.471404492855072,1.0,100.0,100.0,100.0,0.0,3,2.764705882352941,2.0,4.0,8,8,2,0
34,16.200000000000003,0.32400000000000007,50,3,16,1,7,0.34,0.6599999999999999,100.0,11,12,10,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,3,3.1333333333333333,2.0,5.0,9,5,2,0
35,16.200000000000006,0.3240000000000001,50,3,18,1,4,0.38,0.62,100.0,10,10,11,0.471404492855072,1.0,100.0,100.0,100.0,0.0,3,2.764705882352941,2.0,4.0,10,6,2,0
36,16.200000000000003,0.32400000000000007,50,3,15,1,4,0.34,0.6599999999999999,100.0,10,15,8,2.943920373916626,7.0,100.0,100.0,100.0,0.0,3,3.142857142857143,2.0,4.0,9,3,3,0
37,17.400000000000002,0.34800000000000003,50,3,15,1,5,0.42,0.5800000000000001,100.0,9,13,7,2.4944381713867188,6.0,100.0,100.0,100.0,0.0,4,3.2142857142857144,2.0,4.0,8,6,1,0
38,17.400000000000002,0.34800000000000003,50,3,13,1,4,0.3,0.7,62.0,11,13,11,0.9428090453147888,2.0,98.84615384615384,85.0,100.0,3.997040325158948,3,3.6666666666666665,2.0,7.0,8,3,2,0
39,17.400000000000006,0.3480000000000001,50,3,13,1,4,0.32,0.6799999999999999,82.0,12,11,11,0.471404492855072,1.0,99.46153846153847,93.0,100.0,1.8652854850741754,3,3.6666666666666665,2.0,6.0,9,2,2,0
40,16.20000000000001,0.3240000000000002,50,3,15,1,12,0.42,0.5800000000000001,100.0,7,11,11,1.885617971420288,4.0,100.0,100.0,100.0,0.0,3,3.2142857142857144,2.0,5.0,6,6,3,0
41,16.200000000000006,0.3240000000000001,50,3,15,1,4,0.42,0.5800000000000001,100.0,13,7,9,2.4944381713867188,6.0,100.0,100.0,100.0,0.0,3,3.357142857142857,2.0,5.0,9,5,1,0
42,17.400000000000002,0.34800000000000003,50,3,14,1,4,0.36,0.64,100.0,11,9,12,1.247219204902649,3.0,100.0,100.0,100.0,0.0,3,3.3846153846153846,2.0,4.0,9,3,2,0
43,16.200000000000003,0.32400000000000007,50,3,15,1,4,0.36,0.64,100.0,12,12,8,1.885617971420288,4.0,100.0,100.0,100.0,0.0,3,3.142857142857143,2.0,5.0,9,4,2,0
44,16.200000000000003,0.32400000000000007,50,3,15,1,5,0.36,0.64,100.0,10,10,12,0.9428090453147888,2.0,100.0,100.0,100.0,0.0,4,3.142857142857143,2.0,4.0,8,5,2,0
45,16.200000000000003,0.32400000000000007,50,3,14,1,19,0.36,0.64,100.0,9,13,10,1.699673056602478,4.0,100.0,100.0,100.0,0.0,3,3.4615384615384617,2.0,5.0,6,6,2,0
46,16.200000000000003,0.32400000000000007,50,3,17,1,7,0.38,0.62,100.0,10,12,9,1.247219204902649,3.0,100.0,100.0,100.0,0.0,3,2.9375,2.0,5.0,8,7,2,0
47,18.600000000000005,0.3720000000000001,50,3,17,1,4,0.5,0.5,100.0,7,7,11,1.885617971420288,4.0,100.0,100.0,100.0,0.0,3,2.8125,2.0,4.0,7,5,5,0
48,16.200000000000006,0.3240000000000001,50,3,16,1,7,0.36,0.64,100.0,7,13,12,2.624669313430786,6.0,100.0,100.0,100.0,0.0,3,3.1333333333333333,2.0,6.0,6,6,4,0
49,16.200000000000006,0.3240000000000001,50,3,19,1,13,0.46,0.54,100.0,6,13,8,2.943920373916626,7.0,100.0,100.0,100.0,0.0,3,2.611111111111111,2.0,4.0,6,11,2,0
50,16.200000000000006,0.3240000000000001,50,3,17,1,6,0.46,0.54,100.0,11,9,7,1.632993221282959,4.0,100.0,100.0,100.0,0.0,4,2.875,2.0,4.0,10,6,1,0
51,18.600000000000005,0.3720000000000001,50,3,17,1,7,0.42,0.5800000000000001,100.0,7,9,13,2.4944381713867188,6.0,100.0,100.0,100.0,0.0,3,2.75,2.0,4.0,7,7,3,0
52,16.000000000000007,0.3200000000000001,50,3,15,1,5,0.32,0.6799999999999999,100.0,11,11,12,0.471404492855072,1.0,100.0,100.0,100.0,0.0,4,3.2142857142857144,2.0,5.0,9,5,1,0
53,17.400000000000006,0.3480000000000001,50,3,16,1,4,0.46,0.54,100.0,8,7,12,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,3,3.0,2.0,5.0,8,5,3,0
54,16.200000000000006,0.3240000000000001,50,3,15,1,5,0.34,0.6599999999999999,100.0,11,11,11,0.0,0.0,100.0,100.0,100.0,0.0,4,3.2857142857142856,2.0,5.0,9,5,1,0
55,17.400000000000006,0.3480000000000001,50,3,16,1,4,0.42,0.5800000000000001,100.0,9,12,8,1.699673056602478,4.0,100.0,100.0,100.0,0.0,3,2.933333333333333,2.0,4.0,9,5,2,0
56,17.400000000000006,0.3480000000000001,50,3,17,1,11,0.5,0.5,100.0,8,8,9,0.471404492855072,1.0,100.0,100.0,100.0,0.0,3,2.875,2.0,4.0,8,7,2,0
57,16.200000000000003,0.32400000000000007,50,3,16,1,19,0.4,0.6,100.0,6,13,11,2.943920373916626,7.0,100.0,100.0,100.0,0.0,3,3.0,2.0,5.0,6,7,3,0
58,16.200000000000003,0.32400000000000007,50,3,17,1,4,0.4,0.6,100.0,9,12,9,1.4142135381698608,3.0,100.0,100.0,100.0,0.0,3,2.9375,2.0,4.0,9,7,1,0
59,16.200000000000003,0.32400000000000007,50,3,15,1,5,0.38,0.62,100.0,13,11,7,2.4944381713867188,6.0,100.0,100.0,100.0,0.0,4,3.2142857142857144,2.0,6.0,9,5,1,0
60,16.200000000000003,0.32400000000000007,50,3,15,1,5,0.34,0.6599999999999999,100.0,8,13,12,2.1602468490600586,5.0,100.0,100.0,100.0,0.0,3,3.357142857142857,2.0,5.0,8,6,1,0
61,17.400000000000002,0.34800000000000003,50,3,16,1,4,0.38,0.62,100.0,9,12,10,1.2472190856933594,3.0,100.0,100.0,100.0,0.0,3,2.933333333333333,2.0,5.0,9,5,2,0
62,18.600000000000005,0.3720000000000001,50,3,16,1,5,0.48,0.52,100.0,9,5,12,2.8674418926239014,7.0,100.0,100.0,100.0,0.0,3,3.1333333333333333,2.0,5.0,9,4,3,0
63,17.400000000000002,0.34800000000000003,50,3,16,1,7,0.34,0.6599999999999999,100.0,6,13,14,3.5590262413024902,8.0,100.0,100.0,100.0,0.0,3,3.066666666666667,2.0,5.0,5,8,3,0
64,16.200000000000003,0.32400000000000007,50,3,14,1,7,0.32,0.6799999999999999,100.0,10,12,12,0.9428090453147888,2.0,100.0,100.0,100.0,0.0,3,3.5384615384615383,2.0,5.0,8,4,2,0
65,18.60000000000001,0.37200000000000016,50,3,16,1,4,0.42,0.5800000000000001,100.0,8,7,14,3.0912060737609863,7.0,100.0,100.0,100.0,0.0,3,3.0,2.0,4.0,6,4,6,0
66,16.200000000000006,0.3240000000000001,50,3,16,1,4,0.4,0.6,99.0,11,10,9,0.8164966106414795,2.0,100.0,100.0,100.0,0.0,3,3.1333333333333333,2.0,5.0,9,5,2,0
67,16.200000000000003,0.32400000000000007,50,3,17,1,34,0.38,0.62,100.0,4,12,15,4.642796039581299,11.0,100.0,100.0,100.0,0.0,3,2.8125,2.0,4.0,4,7,6,0
68,17.40000000000001,0.3480000000000002,50,3,14,1,7,0.42,0.5800000000000001,100.0,11,6,12,2.624669313430786,6.0,100.0,100.0,100.0,0.0,3,3.5384615384615383,2.0,6.0,9,4,1,0
69,16.200000000000006,0.3240000000000001,50,3,16,1,17,0.44,0.56,100.0,12,9,7,2.054804563522339,5.0,100.0,100.0,100.0,0.0,4,3.0,2.0,5.0,10,6,0,0
70,17.400000000000002,0.34800000000000003,50,3,15,1,4,0.42,0.5800000000000001,99.0,8,10,11,1.247219204902649,3.0,100.0,100.0,100.0,0.0,3,3.2857142857142856,2.0,5.0,7,6,2,0
71,16.200000000000006,0.3240000000000001,50,3,15,1,4,0.36,0.64,100.0,9,13,10,1.699673056602478,4.0,100.0,100.0,100.0,0.0,3,3.142857142857143,2.0,4.0,8,5,2,0
