episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other
27,20.400000000000002,0.40800000000000003,50,3,11,1,7,0.26,0.74,56.0,10,14,13,1.699673056602478,4.0,97.0909090909091,68.0,100.0,9.199353193217103,4,4.4,3.0,6.0,8,3,0,0
28,18.999999999999996,0.37999999999999995,50,3,10,1,3,0.22,0.78,43.0,15,9,15,2.8284270763397217,6.0,95.8,64.0,100.0,10.74988372030135,4,4.888888888888889,3.0,7.0,8,2,0,0
29,17.549999999999997,0.3509999999999999,50,3,10,1,16,0.32,0.6799999999999999,32.0,11,11,12,0.471404492855072,1.0,88.6,37.0,100.0,22.957351763650788,4,4.666666666666667,2.0,12.0,8,1,1,0
30,18.999999999999996,0.37999999999999995,50,3,10,1,3,0.26,0.74,54.0,11,13,13,0.9428090453147888,2.0,95.3,57.0,100.0,12.822246293064255,4,4.888888888888889,3.0,7.0,8,2,0,0
31,19.0,0.38,50,3,12,1,7,0.32,0.6799999999999999,70.0,10,14,10,1.885617971420288,4.0,97.41666666666667,74.0,100.0,7.193264596520523,4,4.0,2.0,6.0,9,2,1,0
32,18.8,0.376,50,3,12,1,3,0.32,0.6799999999999999,100.0,13,11,10,1.247219204902649,3.0,100.0,100.0,100.0,0.0,5,4.0,3.0,5.0,12,0,0,0
33,17.4,0.348,50,3,10,1,3,0.28,0.72,33.0,11,10,15,2.1602468490600586,5.0,88.4,36.0,100.0,23.354656923192,4,4.777777777777778,2.0,13.0,7,2,1,0
34,18.799999999999997,0.37599999999999995,50,3,9,1,3,0.2,0.8,77.0,15,10,15,2.357022523880005,5.0,100.0,100.0,100.0,0.0,4,3.75,3.0,5.0,7,1,1,0
35,19.2,0.384,50,3,11,1,12,0.28,0.72,43.0,9,9,18,4.242640495300293,9.0,94.54545454545455,46.0,100.0,15.447057009279597,4,4.3,3.0,7.0,9,1,1,0
36,18.799999999999997,0.37599999999999995,50,3,10,1,3,0.22,0.78,90.0,15,11,13,1.632993221282959,4.0,99.4,94.0,100.0,1.8,5,4.777777777777778,4.0,7.0,10,0,0,0
37,19.65,0.39299999999999996,50,3,9,1,3,0.24,0.76,27.0,16,8,14,3.399346351623535,8.0,86.66666666666667,30.0,100.0,25.385910352879694,5,5.5,3.0,12.0,9,0,0,0
38,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,83.0,12,12,14,0.9428090453147888,2.0,99.58333333333333,95.0,100.0,1.3819269959814167,4,4.0,3.0,6.0,8,4,0,0
39,18.799999999999997,0.37599999999999995,50,3,10,1,3,0.24,0.76,78.0,13,13,12,0.471404492855072,1.0,100.0,100.0,100.0,0.0,4,4.111111111111111,2.0,7.0,8,1,1,0
40,18.799999999999997,0.37599999999999995,50,3,11,1,8,0.28,0.72,100.0,13,8,15,2.943920373916626,7.0,100.0,100.0,100.0,0.0,4,4.1,2.0,7.0,8,1,2,0
41,17.099999999999998,0.34199999999999997,50,3,9,1,3,0.3,0.7,31.0,15,10,10,2.357022523880005,5.0,87.44444444444444,33.0,100.0,24.005143481767547,4,5.75,4.0,13.0,5,3,1,0
42,18.999999999999996,0.37999999999999995,50,3,10,1,3,0.28,0.72,53.0,15,9,12,2.4494898319244385,6.0,95.3,57.0,100.0,12.822246293064255,4,4.888888888888889,2.0,7.0,9,0,1,0
43,20.4,0.408,50,3,11,1,3,0.26,0.74,46.0,9,15,13,2.4944381713867188,6.0,95.45454545454545,50.0,100.0,14.373989364401725,4,4.5,3.0,11.0,8,2,1,0
44,18.799999999999997,0.37599999999999995,50,3,11,1,8,0.32,0.6799999999999999,91.0,11,12,11,0.471404492855072,1.0,99.54545454545455,95.0,100.0,1.4373989364401722,4,4.4,3.0,6.0,10,1,0,0
45,20.4,0.408,50,3,10,1,3,0.26,0.74,45.0,10,15,12,2.054804563522339,5.0,95.0,50.0,100.0,15.0,4,5.0,3.0,12.0,7,3,0,0
46,17.149999999999995,0.3429999999999999,50,3,9,1,6,0.26,0.74,31.0,12,12,13,0.471404492855072,1.0,87.22222222222223,34.0,100.0,23.208129695230017,4,5.375,3.0,7.0,7,2,0,0
47,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.3,0.7,92.0,13,7,15,3.399346113204956,8.0,99.58333333333333,95.0,100.0,1.3819269959814167,4,4.0,3.0,6.0,11,1,0,0
48,15.899999999999991,0.31799999999999984,50,3,10,1,3,0.44,0.56,29.0,8,10,10,0.9428090453147888,2.0,83.9,32.0,100.0,26.9831428858834,4,4.888888888888889,3.0,9.0,6,3,1,0
49,19.000000000000004,0.38000000000000006,50,3,12,1,3,0.28,0.72,61.0,11,13,12,0.8164966106414795,2.0,97.16666666666667,72.0,100.0,7.765665171481162,4,4.0,3.0,6.0,10,2,0,0
50,18.799999999999997,0.37599999999999995,50,3,10,1,3,0.26,0.74,100.0,13,12,12,0.471404492855072,1.0,100.0,100.0,100.0,0.0,4,4.555555555555555,4.0,7.0,8,2,0,0
51,20.2,0.40399999999999997,50,3,12,1,3,0.26,0.74,95.0,10,13,14,1.699673056602478,4.0,100.0,100.0,100.0,0.0,4,3.727272727272727,3.0,4.0,9,2,1,0
52,18.3,0.366,50,3,12,1,3,0.28,0.72,28.0,8,15,13,2.943920373916626,7.0,84.66666666666667,32.0,100.0,25.808052145707464,4,4.181818181818182,3.0,7.0,7,4,1,0
53,18.249999999999996,0.36499999999999994,50,3,11,1,3,0.3,0.7,38.0,11,10,14,1.699673056602478,4.0,89.9090909090909,42.0,100.0,20.201055532523522,4,4.3,2.0,7.0,9,1,1,0
54,12.999999999999988,0.25999999999999973,50,3,8,1,4,0.46,0.54,13.0,9,8,10,0.8164966106414795,2.0,78.0,15.0,100.0,32.120865492698044,5,4.571428571428571,2.0,7.0,5,2,1,0
55,12.299999999999986,0.24599999999999972,50,3,6,1,3,0.42,0.5800000000000001,18.0,9,10,10,0.471404492855072,1.0,74.83333333333333,20.0,100.0,35.6857425622926,5,6.0,4.0,10.0,4,1,1,0
56,17.549999999999997,0.3509999999999999,50,3,10,1,7,0.3,0.7,33.0,8,16,11,3.2998316287994385,8.0,88.6,37.0,100.0,22.957351763650788,4,4.777777777777778,2.0,12.0,6,4,0,0
