episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread
53,18.799999999999997,0.37599999999999995,50,3,10,1,7,0.2,0.8,90.0,14,8,18,4.109609127044678,10.0
54,17.699999999999996,0.3539999999999999,50,3,11,1,3,0.34,0.6599999999999999,30.0,14,6,13,3.5590262413024902,8.0
55,18.099999999999998,0.36199999999999993,50,3,11,1,3,0.24,0.76,39.0,12,11,15,1.699673056602478,4.0
56,18.999999999999996,0.37999999999999995,50,3,11,1,3,0.24,0.76,47.0,10,14,14,1.885617971420288,4.0
57,14.049999999999988,0.28099999999999975,50,3,7,1,3,0.46,0.54,25.0,10,9,8,0.8164966106414795,2.0
58,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.3,0.7,83.0,11,10,14,1.699673056602478,4.0
59,19.0,0.38,50,3,11,1,3,0.24,0.76,61.0,13,11,14,1.247219204902649,3.0
60,20.4,0.408,50,3,11,1,3,0.26,0.74,48.0,12,10,15,2.054804563522339,5.0
61,18.799999999999997,0.37599999999999995,50,3,9,1,3,0.2,0.8,65.0,15,11,14,1.699673056602478,4.0
62,18.799999999999997,0.37599999999999995,50,3,11,1,16,0.28,0.72,84.0,14,7,15,3.5590262413024902,8.0
63,19.15,0.38299999999999995,50,3,10,1,3,0.24,0.76,21.0,13,11,14,1.247219204902649,3.0
64,18.8,0.376,50,3,13,1,3,0.36,0.64,100.0,8,12,12,1.885617971420288,4.0
65,18.249999999999996,0.36499999999999994,50,3,12,1,7,0.34,0.6599999999999999,39.0,9,13,11,1.632993221282959,4.0
66,16.299999999999997,0.32599999999999996,50,3,9,1,3,0.28,0.72,33.0,13,10,13,1.4142135381698608,3.0
67,18.599999999999998,0.37199999999999994,50,3,11,1,3,0.3,0.7,37.0,7,16,12,3.6817870140075684,9.0
68,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.26,0.74,89.0,10,16,11,2.624669313430786,6.0
69,18.799999999999997,0.37599999999999995,50,3,9,1,3,0.24,0.76,100.0,14,10,14,1.885617971420288,4.0
70,15.699999999999992,0.31399999999999983,50,3,9,1,3,0.34,0.6599999999999999,28.0,10,11,12,0.8164966106414795,2.0
71,18.399999999999995,0.3679999999999999,50,3,10,1,3,0.3,0.7,34.0,10,13,12,1.2472190856933594,3.0
72,17.4,0.348,50,3,10,1,6,0.32,0.6799999999999999,33.0,13,8,13,2.357022523880005,5.0
73,16.999999999999993,0.33999999999999986,50,3,9,1,3,0.28,0.72,33.0,8,18,10,4.320493698120117,10.0
74,20.199999999999996,0.4039999999999999,50,3,11,1,3,0.24,0.76,67.0,13,12,13,0.471404492855072,1.0
75,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.26,0.74,91.0,13,11,13,0.9428090453147888,2.0
76,18.799999999999997,0.37599999999999995,50,3,10,1,7,0.24,0.76,73.0,13,11,14,1.247219204902649,3.0
77,19.349999999999998,0.38699999999999996,50,3,11,1,4,0.3,0.7,40.0,9,16,10,3.0912060737609863,7.0
78,18.099999999999998,0.36199999999999993,50,3,12,1,3,0.3,0.7,38.0,12,13,10,1.247219204902649,3.0
79,18.799999999999997,0.37599999999999995,50,3,10,1,3,0.28,0.72,100.0,11,14,11,1.4142135381698608,3.0
80,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.28,0.72,90.0,13,12,11,0.8164966106414795,2.0
81,20.2,0.40399999999999997,50,3,11,1,4,0.24,0.76,95.0,11,12,15,1.699673056602478,4.0
82,18.799999999999997,0.37599999999999995,50,3,11,1,6,0.26,0.74,80.0,11,11,15,1.885617971420288,4.0
83,19.15,0.38299999999999995,50,3,11,1,4,0.24,0.76,30.0,12,13,13,0.471404492855072,1.0
84,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.26,0.74,82.0,12,11,14,1.247219204902649,3.0
85,19.299999999999997,0.38599999999999995,50,3,11,1,3,0.34,0.6599999999999999,23.0,11,12,10,0.8164966106414795,2.0
86,18.799999999999997,0.37599999999999995,50,3,10,1,3,0.26,0.74,100.0,14,12,11,1.247219204902649,3.0
87,20.4,0.408,50,3,10,1,3,0.22,0.78,46.0,13,12,14,0.8164966106414795,2.0
88,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.28,0.72,84.0,12,12,12,0.0,0.0
89,18.249999999999996,0.36499999999999994,50,3,10,1,3,0.26,0.74,33.0,11,13,13,0.9428090453147888,2.0
90,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.28,0.72,79.0,12,14,10,1.632993221282959,4.0
91,19.2,0.384,50,3,12,1,3,0.26,0.74,44.0,9,13,15,2.4944381713867188,6.0
92,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.28,0.72,90.0,11,11,14,1.4142135381698608,3.0
93,18.249999999999996,0.36499999999999994,50,3,11,1,3,0.28,0.72,34.0,13,11,12,0.8164966106414795,2.0
94,18.799999999999997,0.37599999999999995,50,3,11,1,7,0.24,0.76,90.0,12,13,13,0.471404492855072,1.0
95,19.299999999999997,0.38599999999999995,50,3,12,1,12,0.3,0.7,28.0,12,7,16,3.6817867755889893,9.0
96,16.499999999999993,0.32999999999999985,50,3,9,1,7,0.3,0.7,30.0,12,11,12,0.471404492855072,1.0
97,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,8,11,17,3.7416574954986572,9.0
98,20.199999999999996,0.4039999999999999,50,3,11,1,3,0.24,0.76,68.0,12,12,14,0.9428090453147888,2.0
99,20.199999999999996,0.4039999999999999,50,3,11,1,9,0.3,0.7,77.0,13,11,11,0.9428090453147888,2.0
100,20.4,0.408,50,3,11,1,3,0.26,0.74,47.0,10,16,11,2.624669313430786,6.0
101,18.8,0.376,50,3,11,1,3,0.28,0.72,73.0,13,10,13,1.4142135381698608,3.0
102,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,83.0,13,9,16,2.8674418926239014,7.0
103,18.099999999999998,0.36199999999999993,50,3,10,1,3,0.24,0.76,37.0,12,13,13,0.471404492855072,1.0
104,18.45,0.369,50,3,11,1,3,0.28,0.72,36.0,11,13,12,0.8164966106414795,2.0
105,20.199999999999996,0.4039999999999999,50,3,9,1,3,0.2,0.8,47.0,15,9,16,3.0912060737609863,7.0
106,20.2,0.40399999999999997,50,3,11,1,3,0.26,0.74,58.0,11,13,13,0.9428090453147888,2.0
107,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.28,0.72,84.0,12,11,13,0.8164966106414795,2.0
108,18.249999999999996,0.36499999999999994,50,3,10,1,7,0.3,0.7,38.0,11,13,11,0.9428090453147888,2.0
109,18.8,0.376,50,3,13,1,3,0.32,0.6799999999999999,100.0,8,12,14,2.4944381713867188,6.0
110,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,82.0,10,14,14,1.885617971420288,4.0
111,16.04999999999999,0.3209999999999998,50,3,10,1,6,0.4,0.6,29.0,9,6,15,3.7416574954986572,9.0
112,19.299999999999997,0.38599999999999995,50,3,10,1,3,0.22,0.78,32.0,15,12,12,1.4142135381698608,3.0
113,18.449999999999996,0.36899999999999994,50,3,11,1,13,0.3,0.7,37.0,9,13,13,1.885617971420288,4.0
114,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.28,0.72,83.0,13,13,10,1.4142135381698608,3.0
115,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.26,0.74,81.0,13,10,14,1.699673056602478,4.0
116,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.26,0.74,91.0,13,10,14,1.699673056602478,4.0
117,20.199999999999996,0.4039999999999999,50,3,11,1,3,0.24,0.76,67.0,12,15,11,1.699673056602478,4.0
118,18.799999999999997,0.37599999999999995,50,3,12,1,9,0.26,0.74,84.0,12,12,13,0.471404492855072,1.0
119,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,12,12,12,0.0,0.0
120,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,12,11,14,1.247219204902649,3.0
121,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,82.0,13,11,14,1.247219204902649,3.0
122,18.8,0.376,50,3,12,1,3,0.26,0.74,100.0,13,12,12,0.471404492855072,1.0
123,18.8,0.376,50,3,13,1,3,0.3,0.7,100.0,12,11,12,0.471404492855072,1.0
124,20.2,0.40399999999999997,50,3,12,1,3,0.26,0.74,73.0,12,14,11,1.247219204902649,3.0
125,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.3,0.7,82.0,13,13,9,1.885617971420288,4.0
126,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.26,0.74,79.0,13,12,12,0.471404492855072,1.0
127,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,83.0,13,13,12,0.471404492855072,1.0
128,20.2,0.40399999999999997,50,3,12,1,3,0.26,0.74,74.0,11,11,15,1.885617971420288,4.0
129,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,10,12,15,2.054804563522339,5.0
130,18.799999999999997,0.37599999999999995,50,3,10,1,3,0.22,0.78,84.0,13,14,12,0.8164966106414795,2.0
131,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,12,12,12,0.0,0.0
132,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,82.0,13,13,12,0.471404492855072,1.0
133,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.26,0.74,84.0,12,12,13,0.471404492855072,1.0
134,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,12,9,15,2.4494898319244385,6.0
135,18.249999999999996,0.36499999999999994,50,3,12,1,3,0.28,0.72,36.0,13,11,12,0.8164966106414795,2.0
136,18.8,0.376,50,3,12,1,3,0.24,0.76,100.0,12,11,15,1.699673056602478,4.0
137,19.0,0.38,50,3,12,1,3,0.26,0.74,51.0,12,13,12,0.471404492855072,1.0
138,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.26,0.74,83.0,12,14,11,1.247219204902649,3.0
139,20.2,0.40399999999999997,50,3,12,1,3,0.26,0.74,73.0,12,14,11,1.247219204902649,3.0
140,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,12,10,14,1.632993221282959,4.0
141,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.26,0.74,84.0,12,12,13,0.471404492855072,1.0
142,18.799999999999997,0.37599999999999995,50,3,12,1,3,0.24,0.76,84.0,13,12,13,0.471404492855072,1.0
143,18.799999999999997,0.37599999999999995,50,3,11,1,3,0.26,0.74,78.0,13,13,11,0.9428090453147888,2.0
144,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,11,12,14,1.247219204902649,3.0
145,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,11,11,15,1.885617971420288,4.0
146,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,11,11,15,1.885617971420288,4.0
147,20.200000000000003,0.4040000000000001,50,3,12,1,3,0.26,0.74,63.0,10,14,13,1.699673056602478,4.0
148,20.2,0.40399999999999997,50,3,12,1,3,0.26,0.74,95.0,11,14,12,1.2472190856933594,3.0
149,18.8,0.376,50,3,13,1,7,0.28,0.72,100.0,11,11,14,1.4142135381698608,3.0
150,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,12,11,13,0.8164966106414795,2.0
151,18.8,0.376,50,3,13,1,9,0.26,0.74,100.0,10,13,14,1.699673056602478,4.0
152,18.8,0.376,50,3,12,1,3,0.24,0.76,100.0,12,13,13,0.471404492855072,1.0
153,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,12,11,14,1.247219204902649,3.0
154,18.8,0.376,50,3,13,1,3,0.28,0.72,100.0,11,13,12,0.8164966106414795,2.0
155,18.8,0.376,50,3,12,1,3,0.24,0.76,100.0,11,13,14,1.247219204902649,3.0
156,20.199999999999996,0.4039999999999999,50,3,11,1,3,0.22,0.78,67.0,13,12,14,0.8164966106414795,2.0
157,20.2,0.40399999999999997,50,3,12,1,3,0.28,0.72,85.0,11,14,11,1.4142135381698608,3.0
158,20.400000000000002,0.40800000000000003,50,3,11,1,3,0.24,0.76,52.0,12,10,16,2.4944381713867188,6.0
159,18.8,0.376,50,3,13,1,3,0.32,0.6799999999999999,100.0,12,12,10,0.9428090453147888,2.0
160,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,12,11,14,1.247219204902649,3.0
161,18.8,0.376,50,3,13,1,3,0.26,0.74,100.0,11,11,15,1.885617971420288,4.0
