episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
28,7.074829787015915,0.1414965957403183,50,2,4,0,,0.56,0.43999999999999995,100,14,8,0,5.734883785247803,14.0,100.0,100.0,100.0,0.0,1,12.666666666666666,3.0,31.0,3,0,0,1,0.0,0.0
29,7.074829787015915,0.1414965957403183,50,2,4,0,,0.56,0.43999999999999995,100,14,8,0,5.734883785247803,14.0,100.0,100.0,100.0,0.0,1,13.0,4.0,30.0,3,0,0,1,0.0,0.0
30,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.54,0.45999999999999996,100,14,8,1,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,14.0,5.0,31.0,2,0,1,1,0.0,0.0
31,7.074829787015915,0.1414965957403183,50,2,4,0,,0.6,0.4,100,13,7,0,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
32,7.074829787015915,0.1414965957403183,50,2,3,0,,0.6,0.4,100,13,7,0,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,19.0,7.0,31.0,2,0,0,1,0.0,0.0
33,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.6,0.4,100,11,8,1,4.189935207366943,10.0,100.0,100.0,100.0,0.0,1,14.0,4.0,30.0,2,0,1,1,0.0,0.0
34,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,12,9,0,5.099019527435303,12.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
35,7.891156300902367,0.15782312601804732,50,2,3,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,18.0,6.0,30.0,2,0,0,1,0.0,0.0
36,7.074829787015915,0.1414965957403183,50,2,4,0,,0.6,0.4,100,13,7,0,5.312459468841553,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
37,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
38,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.6,0.4,100,11,7,2,3.6817867755889893,9.0,100.0,100.0,100.0,0.0,1,14.333333333333334,4.0,30.0,2,0,1,1,0.0,0.0
39,7.074829787015915,0.1414965957403183,50,2,3,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,19.0,7.0,31.0,2,0,0,1,0.0,0.0
40,7.074829787015915,0.1414965957403183,50,2,3,0,,0.62,0.38,100,12,7,0,4.921607971191406,12.0,100.0,100.0,100.0,0.0,1,19.0,8.0,30.0,2,0,0,1,0.0,0.0
41,7.891156300902367,0.15782312601804732,50,3,4,1,42.0,0.56,0.43999999999999995,100,12,9,1,4.642796039581299,11.0,100.0,100.0,100.0,0.0,1,14.0,6.0,30.0,2,0,1,1,0.0,0.0
42,7.074829787015915,0.1414965957403183,50,2,4,0,,0.56,0.43999999999999995,100,14,8,0,5.734883785247803,14.0,100.0,100.0,100.0,0.0,1,13.0,4.0,30.0,3,0,0,1,0.0,0.0
43,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
44,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
45,7.891156300902367,0.15782312601804732,50,2,3,0,,0.58,0.42000000000000004,100,12,9,0,5.099019527435303,12.0,100.0,100.0,100.0,0.0,1,18.0,6.0,30.0,2,0,0,1,0.0,0.0
46,7.074829787015915,0.1414965957403183,50,2,4,0,,0.58,0.42000000000000004,100,13,8,0,5.3541259765625,13.0,100.0,100.0,100.0,0.0,1,12.666666666666666,4.0,30.0,3,0,0,1,0.0,0.0
47,7.074829787015915,0.1414965957403183,50,2,4,0,,0.56,0.43999999999999995,100,14,8,0,5.734883785247803,14.0,100.0,100.0,100.0,0.0,1,13.0,4.0,30.0,3,0,0,1,0.0,0.0
48,7.891156300902367,0.15782312601804732,50,2,3,0,,0.64,0.36,100,11,7,0,4.546060562133789,11.0,100.0,100.0,100.0,0.0,1,17.0,4.0,30.0,2,0,0,1,0.0,0.0
