episode,reward,reward_per_step,steps,rooms,charges,full_coverage,full_coverage_step,time_in_C,time_out_C,min_battery,hab1_visits,hab2_visits,hab3_visits,room_std,room_spread,recharge_battery_mean,recharge_battery_min,recharge_battery_max,recharge_battery_std,first_recharge_step,recharge_gap_mean,recharge_gap_min,recharge_gap_max,recharge_from_hab1,recharge_from_hab2,recharge_from_hab3,recharge_from_other,mean_action_elapsed_s,episode_elapsed_s
28,2.5040811598300934,0.050081623196601865,50,2,11,0,,0.26,0.74,100,24,0,13,9.809292793273926,24.0,100.0,100.0,100.0,0.0,10,3.8,2.0,7.0,7,0,4,0,0.0,0.0
29,2.5040811598300934,0.050081623196601865,50,2,10,0,,0.24,0.76,100,23,0,15,9.53356647491455,23.0,100.0,100.0,100.0,0.0,4,5.0,2.0,15.0,10,0,0,0,0.0,0.0
30,2.6999995410442352,0.053999990820884705,50,2,12,0,,0.32,0.6799999999999999,100,21,0,13,8.653837203979492,21.0,100.0,100.0,100.0,0.0,7,3.909090909090909,2.0,7.0,9,0,3,0,0.0,0.0
31,2.6999995410442352,0.053999990820884705,50,2,11,0,,0.28,0.72,100,21,0,15,8.83176040649414,21.0,100.0,100.0,100.0,0.0,7,4.3,2.0,11.0,8,0,3,0,0.0,0.0
32,2.6999995410442352,0.053999990820884705,50,2,11,0,,0.26,0.74,100,24,0,13,9.809292793273926,24.0,100.0,100.0,100.0,0.0,12,3.8,2.0,7.0,7,0,4,0,0.0,0.0
33,2.5040811598300934,0.050081623196601865,50,2,10,0,,0.26,0.74,100,26,0,11,10.656244277954102,26.0,100.0,100.0,100.0,0.0,4,5.111111111111111,2.0,11.0,8,0,2,0,0.0,0.0
34,2.5040811598300934,0.050081623196601865,50,2,11,0,,0.24,0.76,100,25,0,13,10.208928108215332,25.0,100.0,100.0,100.0,0.0,7,4.3,2.0,9.0,7,0,4,0,0.0,0.0
35,2.6999995410442352,0.053999990820884705,50,2,9,0,,0.26,0.74,100,21,0,16,8.956686019897461,21.0,100.0,100.0,100.0,0.0,4,5.375,3.0,11.0,8,0,1,0,0.0,0.0
36,2.6999995410442352,0.053999990820884705,50,2,9,0,,0.24,0.76,100,23,0,15,9.53356647491455,23.0,100.0,100.0,100.0,0.0,7,4.875,3.0,9.0,7,0,2,0,0.0,0.0
37,2.6999995410442352,0.053999990820884705,50,2,10,0,,0.26,0.74,100,22,0,15,9.177266120910645,22.0,100.0,100.0,100.0,0.0,4,5.111111111111111,3.0,8.0,8,0,2,0,0.0,0.0
38,2.5040811598300934,0.050081623196601865,50,2,12,0,,0.3,0.7,100,24,0,11,9.809292793273926,24.0,100.0,100.0,100.0,0.0,4,4.181818181818182,2.0,13.0,10,0,2,0,0.0,0.0
39,2.5040811598300934,0.050081623196601865,50,2,11,0,,0.28,0.72,100,22,0,14,9.092121124267578,22.0,100.0,100.0,100.0,0.0,10,3.5,2.0,6.0,6,0,5,0,0.0,0.0
40,2.5040811598300934,0.050081623196601865,50,2,12,0,,0.34,0.6599999999999999,100,18,0,15,7.874007701873779,18.0,100.0,100.0,100.0,0.0,4,4.181818181818182,2.0,13.0,8,0,4,0,0.0,0.0
41,2.5040811598300934,0.050081623196601865,50,2,7,0,,0.2,0.8,100,25,0,15,10.274023056030273,25.0,100.0,100.0,100.0,0.0,12,5.5,3.0,14.0,6,0,1,0,0.0,0.0
42,2.6999995410442352,0.053999990820884705,50,2,12,0,,0.28,0.72,100,21,0,15,8.83176040649414,21.0,100.0,100.0,100.0,0.0,4,3.727272727272727,2.0,9.0,8,0,4,0,0.0,0.0
